type,artist,album,date,name,id,duration,popularity,url,venue,city,min_price,max_price,days_to_event,hype_score,sellout_risk,description
track,Taylor swift,THE TORTURED POETS DEPARTMENT,2024-04-18,"So Long, London",3Vevii7qKqrmW8CcyzBHDl,262974.0,69.0,https://open.spotify.com/track/3Vevii7qKqrmW8CcyzBHDl,,,,,,,,
track,Taylor swift,THE TORTURED POETS DEPARTMENT,2024-04-18,But Daddy I Love Him,5og4Qzt92jJzVDkOtSEilb,340428.0,70.0,https://open.spotify.com/track/5og4Qzt92jJzVDkOtSEilb,,,,,,,,
track,Taylor swift,THE TORTURED POETS DEPARTMENT,2024-04-18,Fresh Out The Slammer,3fO566xJgwxIa3qGCGBvIC,210789.0,64.0,https://open.spotify.com/track/3fO566xJgwxIa3qGCGBvIC,,,,,,,,
track,Taylor swift,THE TORTURED POETS DEPARTMENT,2024-04-18,Florida!!! (feat. Florence + The Machine),3ZVFcD8Wlw9T9klGqmJf9F,215463.0,65.0,https://open.spotify.com/track/3ZVFcD8Wlw9T9klGqmJf9F,,,,,,,,
track,Taylor swift,THE TORTURED POETS DEPARTMENT,2024-04-18,Guilty as Sin?,0W0iAC1VGlB82PI6elxFYf,254365.0,75.0,https://open.spotify.com/track/0W0iAC1VGlB82PI6elxFYf,,,,,,,,
track,Taylor swift,THE TORTURED POETS DEPARTMENT,2024-04-18,Who’s Afraid of Little Old Me?,36t6frENUtCYKuZus6aYDO,334084.0,71.0,https://open.spotify.com/track/36t6frENUtCYKuZus6aYDO,,,,,,,,
track,Taylor swift,THE TORTURED POETS DEPARTMENT,2024-04-18,I Can Fix Him (No Really I Can),2h3MDMf8sd9s4XIzpTBIjX,156297.0,58.0,https://open.spotify.com/track/2h3MDMf8sd9s4XIzpTBIjX,,,,,,,,
track,Taylor swift,THE TORTURED POETS DEPARTMENT,2024-04-18,loml,6RSG1dKPV5gEvILwJb4QtS,277156.0,71.0,https://open.spotify.com/track/6RSG1dKPV5gEvILwJb4QtS,,,,,,,,
track,Taylor swift,THE TORTURED POETS DEPARTMENT,2024-04-18,I Can Do It With a Broken Heart,4q5YezDOIPcoLr8R81x9qy,218004.0,78.0,https://open.spotify.com/track/4q5YezDOIPcoLr8R81x9qy,,,,,,,,
track,Taylor swift,THE TORTURED POETS DEPARTMENT,2024-04-18,The Smallest Man Who Ever Lived,2v1ivOOsgn64g5OywuH55L,245541.0,66.0,https://open.spotify.com/track/2v1ivOOsgn64g5OywuH55L,,,,,,,,
track,Taylor swift,THE TORTURED POETS DEPARTMENT,2024-04-18,The Alchemy,1dhMTsEZz6ZEquGvmzVoHn,196900.0,66.0,https://open.spotify.com/track/1dhMTsEZz6ZEquGvmzVoHn,,,,,,,,
track,Taylor swift,THE TORTURED POETS DEPARTMENT,2024-04-18,Clara Bow,1UlhrRvYzbHEyugEDspXUB,216662.0,58.0,https://open.spotify.com/track/1UlhrRvYzbHEyugEDspXUB,,,,,,,,
track,Taylor swift,1989 (Taylor's Version) [Deluxe],2023-10-27,Welcome To New York (Taylor's Version),4WUepByoeqcedHoYhSNHRt,212600.0,59.0,https://open.spotify.com/track/4WUepByoeqcedHoYhSNHRt,,,,,,,,
track,Taylor swift,1989 (Taylor's Version) [Deluxe],2023-10-27,Blank Space (Taylor's Version),0108kcWLnn2HlH2kedi1gn,231833.0,62.0,https://open.spotify.com/track/0108kcWLnn2HlH2kedi1gn,,,,,,,,
track,Taylor swift,1989 (Taylor's Version) [Deluxe],2023-10-27,Style (Taylor's Version),3Vpk1hfMAQme8VJ0SNRSkd,231000.0,62.0,https://open.spotify.com/track/3Vpk1hfMAQme8VJ0SNRSkd,,,,,,,,
track,Taylor swift,1989 (Taylor's Version) [Deluxe],2023-10-27,Out Of The Woods (Taylor's Version),1OcSfkeCg9hRC2sFKB4IMJ,235800.0,61.0,https://open.spotify.com/track/1OcSfkeCg9hRC2sFKB4IMJ,,,,,,,,
track,Taylor swift,1989 (Taylor's Version) [Deluxe],2023-10-27,All You Had To Do Was Stay (Taylor's Version),2k0ZEeAqzvYMcx9Qt5aClQ,193289.0,60.0,https://open.spotify.com/track/2k0ZEeAqzvYMcx9Qt5aClQ,,,,,,,,
track,Taylor swift,1989 (Taylor's Version) [Deluxe],2023-10-27,Shake It Off (Taylor's Version),50yNTF0Od55qnHLxYsA5Pw,219209.0,59.0,https://open.spotify.com/track/50yNTF0Od55qnHLxYsA5Pw,,,,,,,,
track,Taylor swift,1989 (Taylor's Version) [Deluxe],2023-10-27,I Wish You Would (Taylor's Version),3FxJDucHWdw6caWTKO5b23,207650.0,59.0,https://open.spotify.com/track/3FxJDucHWdw6caWTKO5b23,,,,,,,,
track,Taylor swift,1989 (Taylor's Version) [Deluxe],2023-10-27,Bad Blood (Taylor's Version),7oZONwFiFIErZcXAtTu7FY,211103.0,58.0,https://open.spotify.com/track/7oZONwFiFIErZcXAtTu7FY,,,,,,,,
track,Taylor swift,1989 (Taylor's Version) [Deluxe],2023-10-27,Wildest Dreams (Taylor's Version),27exgla7YBw9DUNNcTIpjy,220433.0,60.0,https://open.spotify.com/track/27exgla7YBw9DUNNcTIpjy,,,,,,,,
track,Taylor swift,1989 (Taylor's Version) [Deluxe],2023-10-27,How You Get The Girl (Taylor's Version),733OhaXQIHY7BKtY3vnSkn,247533.0,59.0,https://open.spotify.com/track/733OhaXQIHY7BKtY3vnSkn,,,,,,,,
track,Taylor swift,1989 (Taylor's Version) [Deluxe],2023-10-27,This Love (Taylor’s Version),4WBEj8TeGtRPNJdOmT3WJW,250100.0,59.0,https://open.spotify.com/track/4WBEj8TeGtRPNJdOmT3WJW,,,,,,,,
track,Taylor swift,1989 (Taylor's Version) [Deluxe],2023-10-27,I Know Places (Taylor's Version),1ULabO0PEsdJekqVH6G10G,195700.0,59.0,https://open.spotify.com/track/1ULabO0PEsdJekqVH6G10G,,,,,,,,
track,Taylor swift,1989 (Taylor's Version) [Deluxe],2023-10-27,Clean (Taylor's Version),0lKUBmEyQfzsQHozyeXzES,271000.0,60.0,https://open.spotify.com/track/0lKUBmEyQfzsQHozyeXzES,,,,,,,,
track,Taylor swift,1989 (Taylor's Version) [Deluxe],2023-10-27,Wonderland (Taylor's Version),6HRsJu8vcnzYDN4t0570FY,245566.0,58.0,https://open.spotify.com/track/6HRsJu8vcnzYDN4t0570FY,,,,,,,,
track,Taylor swift,1989 (Taylor's Version) [Deluxe],2023-10-27,You Are In Love (Taylor's Version),0TyGh27YQ5LknmiDhCzJiT,267389.0,61.0,https://open.spotify.com/track/0TyGh27YQ5LknmiDhCzJiT,,,,,,,,
track,Taylor swift,1989 (Taylor's Version) [Deluxe],2023-10-27,New Romantics (Taylor's Version),5M787RexsAiVYjQusM98CV,230177.0,60.0,https://open.spotify.com/track/5M787RexsAiVYjQusM98CV,,,,,,,,
track,Taylor swift,1989 (Taylor's Version) [Deluxe],2023-10-27,"""Slut!"" (Taylor's Version) (From The Vault)",0CD7DzeCsuPJygddqlUVYa,180381.0,62.0,https://open.spotify.com/track/0CD7DzeCsuPJygddqlUVYa,,,,,,,,
track,Taylor swift,1989 (Taylor's Version) [Deluxe],2023-10-27,Say Don't Go (Taylor's Version) (From The Vault),3CCRVu4F91Qp2mnGjmWBrf,279833.0,61.0,https://open.spotify.com/track/3CCRVu4F91Qp2mnGjmWBrf,,,,,,,,
