record_type,artist,spotify_artist_id,album_id,album_name,album_release_date,track_id,track_name,track_number,disc_number,explicit,duration_ms,popularity,spotify_url,tm_event_name,tm_event_datetime,tm_venue,tm_city,tm_state,tm_country,tm_min_price,tm_max_price,tm_currency,tm_url,tm_attraction_id
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,1kcwpPDQnqEqmezzXdJTCP,imgonnagetyouback,18,1,False,222072,73,https://open.spotify.com/track/1kcwpPDQnqEqmezzXdJTCP,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,4EF6IyONolQy0bIQXm2EmX,The Albatross,19,1,False,183878,68,https://open.spotify.com/track/4EF6IyONolQy0bIQXm2EmX,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,1rmEsOezwf2lmIZTMAO5Ag,Chloe or Sam or Sophia or Marcus,20,1,False,213281,70,https://open.spotify.com/track/1rmEsOezwf2lmIZTMAO5Ag,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,5Bedn0svl0ZD7RGmJkmKKw,How Did It End?,21,1,False,238706,73,https://open.spotify.com/track/5Bedn0svl0ZD7RGmJkmKKw,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,7Mts0OfPorF4iwOomvfqn1,So High School,22,1,False,228800,76,https://open.spotify.com/track/7Mts0OfPorF4iwOomvfqn1,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,3hlGuz3loYoLfI3bpwieWq,I Hate It Here,23,1,False,243875,71,https://open.spotify.com/track/3hlGuz3loYoLfI3bpwieWq,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,7ogK4lJDVDMU6A6vYR5rvD,thanK you aIMee,24,1,True,263817,67,https://open.spotify.com/track/7ogK4lJDVDMU6A6vYR5rvD,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,1Zai5UJ2di3qEuR2HeT2s8,I Look in People's Windows,25,1,False,131907,68,https://open.spotify.com/track/1Zai5UJ2di3qEuR2HeT2s8,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,18WFFUIsewmA8g31KAeo3e,The Prophecy,26,1,False,249807,75,https://open.spotify.com/track/18WFFUIsewmA8g31KAeo3e,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,0g4fMVo4JjwnIpTfFfLdxS,Cassandra,27,1,True,240205,67,https://open.spotify.com/track/0g4fMVo4JjwnIpTfFfLdxS,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,3zMDGj4D8ogaYgAIZPeU7S,Peter,28,1,False,283957,71,https://open.spotify.com/track/3zMDGj4D8ogaYgAIZPeU7S,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,2913xXOVAIDAqxzV2g4VcU,The Bolter,29,1,True,238241,70,https://open.spotify.com/track/2913xXOVAIDAqxzV2g4VcU,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,2CnjDMdpRjlWv04Xk3s6MW,Robin,30,1,False,240893,67,https://open.spotify.com/track/2CnjDMdpRjlWv04Xk3s6MW,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,1DTRUYVd8rYpla9hhVVwjo,The Manuscript,31,1,False,224743,67,https://open.spotify.com/track/1DTRUYVd8rYpla9hhVVwjo,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,1Mo4aZ8pdj6L1jx8zSwJnt,THE TORTURED POETS DEPARTMENT,2024-04-18,2OzhQlSqBEmt7hmkYxfT6m,Fortnight (feat. Post Malone),1,1,False,228965,82,https://open.spotify.com/track/2OzhQlSqBEmt7hmkYxfT6m,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,1Mo4aZ8pdj6L1jx8zSwJnt,THE TORTURED POETS DEPARTMENT,2024-04-18,3NMrVbIVWT3fPXBj0rNDKG,The Tortured Poets Department,2,1,True,293048,68,https://open.spotify.com/track/3NMrVbIVWT3fPXBj0rNDKG,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,1Mo4aZ8pdj6L1jx8zSwJnt,THE TORTURED POETS DEPARTMENT,2024-04-18,2XXwLdtuAcE0HSCu61ijAb,My Boy Only Breaks His Favorite Toys,3,1,False,203801,67,https://open.spotify.com/track/2XXwLdtuAcE0HSCu61ijAb,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,1Mo4aZ8pdj6L1jx8zSwJnt,THE TORTURED POETS DEPARTMENT,2024-04-18,2F3N9tdombb64aW6VtZOdo,Down Bad,4,1,True,261228,72,https://open.spotify.com/track/2F3N9tdombb64aW6VtZOdo,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,1Mo4aZ8pdj6L1jx8zSwJnt,THE TORTURED POETS DEPARTMENT,2024-04-18,3Vevii7qKqrmW8CcyzBHDl,"So Long, London",5,1,False,262974,69,https://open.spotify.com/track/3Vevii7qKqrmW8CcyzBHDl,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,1Mo4aZ8pdj6L1jx8zSwJnt,THE TORTURED POETS DEPARTMENT,2024-04-18,5og4Qzt92jJzVDkOtSEilb,But Daddy I Love Him,6,1,True,340428,70,https://open.spotify.com/track/5og4Qzt92jJzVDkOtSEilb,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,1Mo4aZ8pdj6L1jx8zSwJnt,THE TORTURED POETS DEPARTMENT,2024-04-18,3fO566xJgwxIa3qGCGBvIC,Fresh Out The Slammer,7,1,False,210789,64,https://open.spotify.com/track/3fO566xJgwxIa3qGCGBvIC,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,1Mo4aZ8pdj6L1jx8zSwJnt,THE TORTURED POETS DEPARTMENT,2024-04-18,3ZVFcD8Wlw9T9klGqmJf9F,Florida!!! (feat. Florence + The Machine),8,1,True,215463,65,https://open.spotify.com/track/3ZVFcD8Wlw9T9klGqmJf9F,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,1Mo4aZ8pdj6L1jx8zSwJnt,THE TORTURED POETS DEPARTMENT,2024-04-18,0W0iAC1VGlB82PI6elxFYf,Guilty as Sin?,9,1,False,254365,75,https://open.spotify.com/track/0W0iAC1VGlB82PI6elxFYf,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,1Mo4aZ8pdj6L1jx8zSwJnt,THE TORTURED POETS DEPARTMENT,2024-04-18,36t6frENUtCYKuZus6aYDO,Who’s Afraid of Little Old Me?,10,1,False,334084,71,https://open.spotify.com/track/36t6frENUtCYKuZus6aYDO,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,1Mo4aZ8pdj6L1jx8zSwJnt,THE TORTURED POETS DEPARTMENT,2024-04-18,2h3MDMf8sd9s4XIzpTBIjX,I Can Fix Him (No Really I Can),11,1,False,156297,58,https://open.spotify.com/track/2h3MDMf8sd9s4XIzpTBIjX,,,,,,,,,,,
